z6-28159,Port1,Port1,Port2,Port2,Port3,Port3,Port7,Port7,Port8,Port8
# Records: 552,TEROS 11 Moisture/Temp,TEROS 11 Moisture/Temp,TEROS 11 Moisture/Temp,TEROS 11 Moisture/Temp,TEROS 11 Moisture/Temp,TEROS 11 Moisture/Temp,Battery,Battery,Barometer,Barometer
Timestamps, m3/m3 Water Content, degree_C Soil Temperature, m3/m3 Water Content, degree_C Soil Temperature, m3/m3 Water Content, degree_C Soil Temperature,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, degree_C Logger Temperature
08/27/2024 04:00:00 PM,0.358,22.5,0.278,22.4,0.339,21.4,91,7730,94.57,24.7
08/27/2024 05:00:00 PM,0.357,22.5,0.278,22.3,0.339,21.2,93,7742,94.55,23.9
08/27/2024 06:00:00 PM,0.356,22.5,0.28,22.3,0.339,21.1,94,7751,94.58,23.9
08/27/2024 07:00:00 PM,0.356,22.7,0.281,22.3,0.339,21,93,7748,94.62,22.1
08/27/2024 08:00:00 PM,0.356,22.7,0.282,22.2,0.339,21,93,7746,94.7,19.8
08/27/2024 09:00:00 PM,0.356,22.5,0.283,22.2,0.339,20.9,93,7747,94.76,18.8
08/27/2024 10:00:00 PM,0.356,22.2,0.283,22.2,0.339,20.9,93,7745,94.82,18.1
08/27/2024 11:00:00 PM,0.356,22,0.284,22.2,0.339,20.9,93,7743,94.85,17.5
08/28/2024 12:00:00 AM,0.356,21.7,0.285,22.2,0.339,20.9,93,7743,94.87,16.7
08/28/2024 01:00:00 AM,0.356,21.4,0.286,22.2,0.339,20.9,91,7727,94.86,15.2
08/28/2024 02:00:00 AM,0.357,21.1,0.286,22.1,0.339,20.9,91,7727,94.85,14.5
08/28/2024 03:00:00 AM,0.357,20.8,0.287,22.1,0.339,20.9,91,7729,94.83,14.4
08/28/2024 04:00:00 AM,0.357,20.5,0.287,22,0.339,20.9,91,7728,94.81,14.4
08/28/2024 05:00:00 AM,0.357,20.3,0.288,22,0.339,20.9,91,7727,94.82,15.8
08/28/2024 06:00:00 AM,0.357,20.1,0.289,21.9,0.339,20.8,91,7730,94.84,16.5
08/28/2024 07:00:00 AM,0.357,19.9,0.289,21.8,0.339,20.8,92,7738,94.88,17.1
08/28/2024 08:00:00 AM,0.357,19.8,0.29,21.8,0.339,20.8,93,7744,94.92,18.6
08/28/2024 09:00:00 AM,0.357,19.8,0.29,21.7,0.34,20.8,99,7798,94.94,20.5
08/28/2024 10:00:00 AM,0.357,19.8,0.29,21.6,0.34,20.8,100,7884,94.94,25.9
08/28/2024 11:00:00 AM,0.357,20.1,0.291,21.5,0.34,20.8,100,7971,94.93,29.5
08/28/2024 12:00:00 PM,0.357,20.9,0.291,21.4,0.34,20.8,100,8014,94.9,30.7
08/28/2024 01:00:00 PM,0.356,21.8,0.292,21.4,0.34,20.8,100,8053,94.86,29.8
08/28/2024 02:00:00 PM,0.356,22.6,0.292,21.4,0.34,20.8,100,8070,94.81,30.3
08/28/2024 03:00:00 PM,0.355,23.4,0.292,21.4,0.34,20.7,100,8093,94.78,31.1
08/28/2024 04:00:00 PM,0.355,23.9,0.293,21.4,0.34,20.7,100,8086,94.77,29.8
08/28/2024 05:00:00 PM,0.355,24.1,0.293,21.5,0.34,20.7,100,8083,94.77,27.6
08/28/2024 06:00:00 PM,0.355,24.1,0.293,21.6,0.34,20.7,100,8078,94.79,26.9
08/28/2024 07:00:00 PM,0.355,24,0.294,21.7,0.34,20.7,100,8074,94.83,23.5
08/28/2024 08:00:00 PM,0.355,23.8,0.294,21.8,0.34,20.7,100,8070,94.89,20.6
08/28/2024 09:00:00 PM,0.355,23.4,0.295,21.9,0.34,20.7,100,8065,94.93,19.2
08/28/2024 10:00:00 PM,0.355,23,0.295,22,0.34,20.6,100,8065,94.93,18.9
08/28/2024 11:00:00 PM,0.355,22.7,0.296,22,0.34,20.6,100,8063,94.91,18.6
08/29/2024 12:00:00 AM,0.355,22.3,0.296,22.1,0.34,20.6,100,8062,94.89,18.2
08/29/2024 01:00:00 AM,0.355,22,0.297,22.1,0.34,20.6,100,8060,94.87,17.8
08/29/2024 02:00:00 AM,0.355,21.7,0.297,22.1,0.34,20.6,100,8061,94.83,17.8
08/29/2024 03:00:00 AM,0.355,21.4,0.298,22.1,0.34,20.6,100,8057,94.82,17.9
08/29/2024 04:00:00 AM,0.355,21.2,0.298,22,0.34,20.6,100,8057,94.81,17.8
08/29/2024 05:00:00 AM,0.355,21,0.298,22,0.34,20.7,100,8055,94.77,18.4
08/29/2024 06:00:00 AM,0.355,20.8,0.299,21.9,0.34,20.7,100,8055,94.78,19.5
08/29/2024 07:00:00 AM,0.355,20.7,0.299,21.9,0.34,20.7,100,8059,94.78,20.1
08/29/2024 08:00:00 AM,0.355,20.7,0.299,21.8,0.34,20.7,100,8064,94.78,22
08/29/2024 09:00:00 AM,0.355,20.7,0.3,21.8,0.34,20.7,100,8072,94.79,23.1
08/29/2024 10:00:00 AM,0.355,21,0.3,21.7,0.34,20.7,100,8091,94.78,24.8
08/29/2024 11:00:00 AM,0.355,21.3,0.3,21.6,0.34,20.7,100,8116,94.75,26.5
08/29/2024 12:00:00 PM,0.355,21.8,0.301,21.6,0.34,20.6,100,8138,94.72,27.2
08/29/2024 01:00:00 PM,0.354,22.4,0.301,21.6,0.34,20.6,100,8162,94.68,28.4
08/29/2024 02:00:00 PM,0.354,23,0.301,21.6,0.34,20.6,100,8172,94.65,28.7
08/29/2024 03:00:00 PM,0.354,23.6,0.301,21.6,0.34,20.6,100,8173,94.62,27.2
08/29/2024 04:00:00 PM,0.353,23.9,0.301,21.6,0.34,20.6,100,8166,94.6,24.8
08/29/2024 05:00:00 PM,0.353,24,0.302,21.7,0.34,20.6,100,8163,94.6,23.8
08/29/2024 06:00:00 PM,0.353,23.8,0.302,21.8,0.34,20.6,100,8159,94.6,22.8
08/29/2024 07:00:00 PM,0.353,23.7,0.302,21.9,0.34,20.6,100,8155,94.58,21.8
08/29/2024 08:00:00 PM,0.353,23.6,0.303,21.9,0.34,20.6,100,8151,94.57,21.2
08/29/2024 09:00:00 PM,0.353,23.3,0.303,22,0.34,20.6,100,8148,94.56,21.4
08/29/2024 10:00:00 PM,0.353,23.1,0.303,22,0.34,20.6,100,8145,94.54,21.8
08/29/2024 11:00:00 PM,0.353,22.9,0.304,22.1,0.34,20.6,100,8143,94.54,22
08/30/2024 12:00:00 AM,0.353,22.7,0.304,22.1,0.34,20.6,100,8141,94.52,22.1
08/30/2024 01:00:00 AM,0.353,22.6,0.304,22.1,0.34,20.6,100,8130,94.51,22
08/30/2024 02:00:00 AM,0.353,22.4,0.304,22.1,0.34,20.6,100,8124,94.48,21.3
08/30/2024 03:00:00 AM,0.353,22.2,0.305,22.1,0.34,20.6,100,8127,94.43,20.8
08/30/2024 04:00:00 AM,0.353,22.1,0.305,22.1,0.34,20.6,100,8125,94.41,21.4
08/30/2024 05:00:00 AM,0.353,22,0.305,22.1,0.34,20.6,100,8121,94.4,21.4
08/30/2024 06:00:00 AM,0.353,21.8,0.305,22.1,0.34,20.6,100,8119,94.42,21.9
08/30/2024 07:00:00 AM,0.354,21.8,0.306,22,0.34,20.6,100,8117,94.44,21.9
08/30/2024 08:00:00 AM,0.354,21.7,0.306,22,0.34,20.6,100,8118,94.48,22.8
08/30/2024 09:00:00 AM,0.354,21.8,0.306,22,0.34,20.6,100,8152,94.48,24.9
08/30/2024 10:00:00 AM,0.354,21.9,0.306,21.9,0.34,20.6,100,8184,94.49,28.2
08/30/2024 11:00:00 AM,0.353,22.2,0.306,21.9,0.34,20.6,100,8228,94.49,29.4
08/30/2024 12:00:00 PM,0.353,22.8,0.306,21.9,0.34,20.6,100,8260,94.44,33
08/30/2024 01:00:00 PM,0.352,23.6,0.306,21.9,0.34,20.6,100,8263,94.36,34
08/30/2024 02:00:00 PM,0.351,24.5,0.306,21.9,0.34,20.6,100,8268,94.31,33
08/30/2024 03:00:00 PM,0.351,25.3,0.306,21.9,0.34,20.6,100,8267,94.26,32.4
08/30/2024 04:00:00 PM,0.351,25.7,0.306,22,0.34,20.6,100,8251,94.24,31.6
08/30/2024 05:00:00 PM,0.35,25.6,0.306,22.1,0.34,20.6,100,8241,94.25,30.2
08/30/2024 06:00:00 PM,0.35,25.5,0.306,22.2,0.34,20.6,100,8228,94.25,28.1
08/30/2024 07:00:00 PM,0.35,25.3,0.306,22.3,0.34,20.6,100,8219,94.27,22.7
08/30/2024 08:00:00 PM,0.35,25,0.307,22.4,0.34,20.6,100,8215,94.31,19.7
08/30/2024 09:00:00 PM,0.35,24.5,0.307,22.5,0.34,20.6,100,8211,94.36,18.4
08/30/2024 10:00:00 PM,0.35,24,0.307,22.6,0.34,20.6,100,8208,94.39,17.3
08/30/2024 11:00:00 PM,0.35,23.6,0.307,22.7,0.34,20.6,100,8205,94.43,16.6
08/31/2024 12:00:00 AM,0.35,23.1,0.307,22.7,0.34,20.6,100,8201,94.43,16
08/31/2024 01:00:00 AM,0.35,22.7,0.307,22.7,0.34,20.7,100,8191,94.42,15.5
08/31/2024 02:00:00 AM,0.35,22.3,0.307,22.7,0.34,20.7,100,8189,94.43,15.1
08/31/2024 03:00:00 AM,0.35,21.9,0.307,22.6,0.34,20.7,100,8188,94.43,15.8
